Band;Original genre;State;Code
Sabbat;Black_metal;Japan;JPN
Sabbat;Black_metal;United Kingdom;GBR
Sacramentum;Black_metal;Sweden;SWE
Salem;Black_metal;Israel;ISR
Samael;Black_metal;Switzerland;CHE
Sanctifica;Black_metal;Sweden;SWE
Sarcófago;Black_metal;Brazil;BRA
Sargeist;Black_metal;Finland;FIN
Satanic Slaughter;Black_metal;Sweden;SWE
Satanic Warmaster;Black_metal;Finland;FIN
Satyricon;Black_metal;Norway;NOR
Secrets of the Moon;Black_metal;Germany;DEU
Selfmindead;Black_metal;Sweden;SWE
Sepultura;Black_metal;Brazil;BRA
Shade Empire;Black_metal;Finland;FIN
Shining;Black_metal;Sweden;SWE
Siebenbürgen;Black_metal;Sweden;SWE
Sigh;Black_metal;Japan;JPN
Skeletonwitch;Black_metal;United States;USA
Skitliv;Black_metal;Norway;NOR
Skyforger;Black_metal;Latvia;LVA
Slavia;Black_metal;Norway;NOR
Slechtvalk;Black_metal;Netherlands;NLD
Sodom;Black_metal;Germany;DEU
Solefald;Black_metal;Norway;NOR
Sólstafir;Black_metal;Iceland;ISL
Spektr;Black_metal;France;FRA
Stormlord;Black_metal;Italy;ITA
Striborg;Black_metal;Australia;AUS
Summoning;Black_metal;Austria;AUT
Sunn O)));Black_metal;United States;USA
Susperia;Black_metal;Norway;NOR
Sympathy;Black_metal;Canada;CAN
Taake;Black_metal;Norway;NOR
Teitanblood;Black_metal;Spain;ESP
Theatres des Vampires;Black_metal;Italy;ITA
Thorns;Black_metal;Norway;NOR
Thou Art Lord;Black_metal;Greece;GRC
Thronar;Black_metal;Netherlands;NLD
Tiamat;Black_metal;Sweden;SWE
Tormentor;Black_metal;Hungary;HUN
Toxic Holocaust;Black_metal;United States;USA
Trail of Tears;Black_metal;Norway;NOR
Tribes of Caïn;Black_metal;Switzerland;CHE
Tristwood;Black_metal;Austria;AUT
Troll;Black_metal;Norway;NOR
Tsatthoggua;Black_metal;Germany;DEU
Tsjuder;Black_metal;Norway;NOR
Tvangeste;Black_metal;Russia;RUS
Twilight;Black_metal;United States;USA
Twin Obscenity;Black_metal;Norway;NOR
Ulver;Black_metal;Norway;NOR
Unanimated;Black_metal;Sweden;SWE
Unexpect;Black_metal;Canada;CAN
Unholy;Black_metal;Finland;FIN
Urgehal;Black_metal;Norway;NOR
Vaakevandring;Black_metal;Norway;NOR
Valhall;Black_metal;Norway;NOR
Ved Buens Ende;Black_metal;Norway;NOR
Venom;Black_metal;United Kingdom;GBR
Vesania;Black_metal;Poland;POL
Vesperian Sorrow;Black_metal;United States;USA
Vintersorg;Black_metal;Sweden;SWE
Vital Remains;Black_metal;United States;USA
Von;Black_metal;United States;USA
Vorkreist;Black_metal;France;FRA
Vreid;Black_metal;Norway;NOR
Vulcano;Black_metal;Brazil;BRA
War;Black_metal;Sweden;SWE
Watain;Black_metal;Sweden;SWE
Weakling;Black_metal;United States;USA
Windir;Black_metal;Norway;NOR
Wintersun;Black_metal;Finland;FIN
Witchery;Black_metal;Sweden;SWE
Witchfynde;Black_metal;United Kingdom;GBR
Witchmaster;Black_metal;Poland;POL
Wolves in the Throne Room;Black_metal;United States;USA
Woods of Ypres;Black_metal;Canada;CAN
Wykked Wytch;Black_metal;United States;USA
Wyrd;Black_metal;Finland;FIN
Xasthur;Black_metal;United States;USA
Zweizz;Black_metal;Norway;NOR
Zyklon;Black_metal;Norway;NOR
2Tm2;Christian_metal;Poland;POL
3rd Root;Christian_metal;United States;USA
7 Angels 7 Plagues;Christian_metal;United States;USA
7 Horns 7 Eyes;Christian_metal;United States;USA
12 Stones;Christian_metal;United States;USA
38th Parallel;Christian_metal;United States;USA
Abated Mass of Flesh;Christian_metal;United States;USA
Ace Augustine;Christian_metal;United States;USA
Admonish;Christian_metal;Sweden;SWE
Advent;Christian_metal;United States;USA
Aggelos;Christian_metal;Colombia;COL
The Agony Scene;Christian_metal;United States;USA
Aletheian;Christian_metal;United States;USA
Altars;Christian_metal;United States;USA
Altera Enigma;Christian_metal;Indonesia;IDN
Antestor;Christian_metal;Norway;NOR
Antidemon;Christian_metal;Brazil;BRA
Argyle Park;Christian_metal;United States;USA
Ark of the Covenant;Christian_metal;United States;USA
Armageddon Holocaust;Christian_metal;Indonesia;IDN
Arvinger;Christian_metal;Norway;NOR
As Cities Burn;Christian_metal;United States;USA
As Hell Retreats;Christian_metal;United States;USA
As I Lay Dying;Christian_metal;United States;USA
As They Sleep;Christian_metal;United States;USA
The Ascendicate;Christian_metal;United States;USA
Ascending King;Christian_metal;United States;USA
Ashen Mortality;Christian_metal;United States;USA
At the Throne of Judgment;Christian_metal;United States;USA
Atomic Opera;Christian_metal;United States;USA
Attack Attack!;Christian_metal;United States;USA
Audiovision;Christian_metal;Sweden;SWE
August Burns Red;Christian_metal;United States;USA
The Autumn League;Christian_metal;Australia;AUS
Balance of Power;Christian_metal;United States;USA
Barnabas;Christian_metal;United States;USA
 'Brian Belew\n'; 'Gary Mann\n';United States;USA
Barren Cross;Christian_metal;United States;USA
Beartooth;Christian_metal;United States;USA
The Beckoning;Christian_metal;Canada;CAN
Becoming Saints;Christian_metal;United States;USA
Becoming the Archetype;Christian_metal;Georgia;GEO
Before Their Eyes;Christian_metal;United States;USA
Behold the Kingdom;Christian_metal;United States;USA
Being as an Ocean;Christian_metal;United States;USA
Believer;Christian_metal;United States;USA
Beloved;Christian_metal;United States;USA
Benea Reach;Christian_metal;Norway;NOR
Besieged;Christian_metal;United States;USA
Betraying the Martyrs;Christian_metal;France;FRA
Blessed by a Broken Heart;Christian_metal;Canada;CAN
Blessthefall;Christian_metal;United States;USA
Blindside;Christian_metal;Sweden;SWE
Blood Covenant;Christian_metal;India;IND
Blood of the Martyrs;Christian_metal;United States;USA
Bloodgood;Christian_metal;United States;USA
Bloodlined Calligraphy;Christian_metal;United States;USA
Bloodline Severed;Christian_metal;United States;USA
Bride;Christian_metal;United States;USA
Broken Flesh;Christian_metal;United States;USA
A Bullet for Pretty Boy;Christian_metal;United States;USA
Burden of a Day;Christian_metal;United States;USA
The Burial;Christian_metal;United States;USA
Burn It Down;Christian_metal;United States;USA
Cage;Christian_metal;United States;USA
Called to Arms;Christian_metal;United States;USA
Call to Preserve;Christian_metal;United States;USA
The Chariot;Christian_metal;United States;USA
Chasing Victory;Christian_metal;Georgia;GEO
Children of Wrath;Christian_metal;United States;USA
Christageddon;Christian_metal;United States;USA
Church Tongue;Christian_metal;United States;USA
Circle of Dust;Christian_metal;United States;USA
Clear Convictions;Christian_metal;Puerto Rico;PRI
Close Your Eyes;Christian_metal;United States;USA
The Color Morale;Christian_metal;United States;USA
Colossus;Christian_metal;United States;USA
Comeback Kid;Christian_metal;Canada;CAN
Conditions;Christian_metal;United States;USA
Confide;Christian_metal;United States;USA
Conveyer;Christian_metal;United States;USA
Convictions;Christian_metal;United States;USA
Corpus Christi;Christian_metal;United States;USA
Creations;Christian_metal;Australia;AUS
Cries Hannah;Christian_metal;United States;USA
The Crimson Armada;Christian_metal;United States;USA
Crimson Moonlight;Christian_metal;Sweden;SWE
Crimson Thorn;Christian_metal;United States;USA
The Crucified;Christian_metal;United States;USA
Cry of the Afflicted;Christian_metal;Canada;CAN
Daniel Band;Christian_metal;Canada;CAN
Darkness Divided;Christian_metal;United States;USA
Darkwater;Christian_metal;Sweden;SWE
Day of Vengeance;Christian_metal;United States;USA
Death Requisite;Christian_metal;United States;USA
Death Therapy;Christian_metal;United States;USA
Debtor;Christian_metal;United States;USA
Defeater;Christian_metal;United States;USA
Deliverance;Christian_metal;United States;USA
Demise of Eros;Christian_metal;United States;USA
Demon Hunter;Christian_metal;United States;USA
Demoniciduth;Christian_metal;Switzerland;CHE
Destroy the Runner;Christian_metal;United States;USA
Detritus;Christian_metal;United Kingdom;GBR
Deus Invictus;Christian_metal;Georgia;GEO
Deuteronomium;Christian_metal;Finland;FIN
The Devil Wears Prada;Christian_metal;United States;USA
Die Happy;Christian_metal;United States;USA
DigHayZoose;Christian_metal;United States;USA
Dire;Christian_metal;United States;USA
Disciple;Christian_metal;United States;USA
Divide the Sea;Christian_metal;United States;USA
Divinefire;Christian_metal;Finland;FIN
Dizmas;Christian_metal;United States;USA
Doomsday Hymn;Christian_metal;Brazil;BRA
Drottnar;Christian_metal;Norway;NOR
Earth Groans;Christian_metal;United States;USA
East West;Christian_metal;United States;USA
Echo Hollow;Christian_metal;United States;USA
Elgibbor;Christian_metal;Poland;POL
Embodiment 12:14;Christian_metal;Australia;AUS
Embodyment;Christian_metal;United States;USA
Emery;Christian_metal;United States;USA
Eso-Charis;Christian_metal;United States;USA
Eternal Decision;Christian_metal;United States;USA
Evelynn;Christian_metal;United States;USA
Everdown;Christian_metal;United States;USA
Every Knee Shall Bow;Christian_metal;United States;USA
Everyone Dies in Utah;Christian_metal;United States;USA
Everything in Slow Motion;Christian_metal;United States;USA
Extol;Christian_metal;Norway;NOR
Falling Cycle;Christian_metal;United States;USA
Falling Up;Christian_metal;United States;USA
Fallstar;Christian_metal;United States;USA
Family Force 5;Christian_metal;United States;USA
The Famine;Christian_metal;United States;USA
Fasedown;Christian_metal;United States;USA
Feast Eternal;Christian_metal;United States;USA
A Feast for Kings;Christian_metal;United States;USA
Few Left Standing;Christian_metal;United States;USA
Figure Four;Christian_metal;Canada;CAN
Final Surrender;Christian_metal;India;IND
Fit for a King;Christian_metal;United States;USA
Flawed by Design;Christian_metal;United States;USA
Flyleaf;Christian_metal;United States;USA
Focused;Christian_metal;United States;USA
For All Eternity;Christian_metal;Australia;AUS
For Today;Christian_metal;United States;USA
For the Fallen Dreams;Christian_metal;United States;USA
Foreknown;Christian_metal;United States;USA
Forevermore;Christian_metal;United States;USA
Forfeit Thee Untrue;Christian_metal;South Africa;ZAF
From the Shallows;Christian_metal;United States;USA
Frosthardr;Christian_metal;Norway;NOR
Frost Like Ashes;Christian_metal;United States;USA
Galactic Cowboys;Christian_metal;United States;USA
The Gates of Slumber;Christian_metal;United States;USA
The Gentleman Homicide;Christian_metal;United States;USA
Gideon;Christian_metal;United States;USA
Glass Casket;Christian_metal;United States;USA
Gnashing of Teeth;Christian_metal;United States;USA
Golden Resurrection;Christian_metal;Sweden;SWE
Grace Like Winter;Christian_metal;Canada;CAN
Grave Declaration;Christian_metal;Norway;NOR
Grave Forsaken;Christian_metal;Australia;AUS
The Great Commission;Christian_metal;United States;USA
Gretchen;Christian_metal;United States;USA
Guardian;Christian_metal;United States;USA
Gwen Stacy;Christian_metal;United States;USA
Hand of Fire;Christian_metal;United States;USA
Hands;Christian_metal;United States;USA
The Handshake Murders;Christian_metal;United States;USA
Harmony;Christian_metal;Sweden;SWE
Haste the Day;Christian_metal;United States;USA
HB;Christian_metal;Finland;FIN
He Is Legend;Christian_metal;United States;USA
Heaven's Force;Christian_metal;United States;USA
Here I Come Falling;Christian_metal;United States;USA
A Hill to Die Upon;Christian_metal;United States;USA
Holy Blood;Christian_metal;Ukraine;UKR
Holy Soldier;Christian_metal;United States;USA
Hope for the Dying;Christian_metal;United States;USA
Hopesfall;Christian_metal;United States;USA
Horde;Christian_metal;Australia;AUS
Hortor;Christian_metal;Mexico;MEX
Hundredth;Christian_metal;United States;USA
I the Breather;Christian_metal;United States;USA
I Am Terrified;Christian_metal;United States;USA
Immortal Souls;Christian_metal;Finland;FIN
Impellitteri;Christian_metal;United States;USA
Impending Doom;Christian_metal;United States;USA
Indwelling;Christian_metal;United States;USA
Inevitable End;Christian_metal;Sweden;SWE
Inhale Exhale;Christian_metal;United States;USA
Inked in Blood;Christian_metal;United States;USA
In the Midst of Lions;Christian_metal;United States;USA
Islander;Christian_metal;United States;USA
Jacobs Dream;Christian_metal;United States;USA
Jamie's Elsewhere;Christian_metal;United States;USA
Jerusalem;Christian_metal;Sweden;SWE
Jesus Wept;Christian_metal;United States;USA
Jonah33;Christian_metal;United States;USA
Joshua;Christian_metal;United States;USA
Kekal;Christian_metal;Indonesia;IDN
Kingston Falls;Christian_metal;United States;USA
Kohllapse;Christian_metal;Australia;AUS
Kryst the Conqueror;Christian_metal;United States;USA
Kutless;Christian_metal;United States;USA
Lament;Christian_metal;Mexico;MEX
Leaders;Christian_metal;United States;USA
Lengsel;Christian_metal;Norway;NOR
The Letter Black;Christian_metal;United States;USA
Letter to the Exiles;Christian_metal;United States;USA
Leviticus;Christian_metal;Sweden;SWE
Life in Your Way;Christian_metal;United States;USA
Living Sacrifice;Christian_metal;United States;USA
Love and Death;Christian_metal;United States;USA
Lucerin Blue;Christian_metal;Canada;CAN
Lust Control;Christian_metal;United States;USA
Luti-Kriss;Christian_metal;United States;USA
LVL;Christian_metal;United States;USA
Mad Max;Christian_metal;Germany;DEU
Manafest;Christian_metal;Canada;CAN
Mantric;Christian_metal;Norway;NOR
Maranatha;Christian_metal;United States;USA
Mastedon;Christian_metal;United States;USA
Mayfly;Christian_metal;United States;USA
Maylene and the Sons of Disaster;Christian_metal;United States;USA
Means;Christian_metal;Canada;CAN
Mehida;Christian_metal;Finland;FIN
Memphis May Fire;Christian_metal;United States;USA
Messiah Prophet;Christian_metal;United States;USA
Messengers;Christian_metal;United States;USA
Metanoia;Christian_metal;Australia;AUS
Mindrage;Christian_metal;United States;USA
Miseration;Christian_metal;Sweden;SWE
Misery Chastain;Christian_metal;United States;USA
Monotheist;Christian_metal;United States;USA
Mortal;Christian_metal;United States;USA
Morphia;Christian_metal;Netherlands;NLD
Mortal Treason;Christian_metal;United States;USA
Mortification;Christian_metal;Australia;AUS
Mouth of the South;Christian_metal;United States;USA
My Heart to Fear;Christian_metal;United States;USA
My Ransomed Soul;Christian_metal;United States;USA
MyChildren MyBride;Christian_metal;United States;USA
Nailed Promise;Christian_metal;United States;USA
Narcissus;Christian_metal;United States;USA
Narnia;Christian_metal;Sweden;SWE
Necromance;Christian_metal;Germany;DEU
Nine Lashes;Christian_metal;United States;USA
No Innocent Victim;Christian_metal;United States;USA
Nodes of Ranvier;Christian_metal;United States;USA
Norma Jean;Christian_metal;United States;USA
Nothing Left;Christian_metal;United States;USA
Nothing Til Blood;Christian_metal;United States;USA
Officer Negative;Christian_metal;United States;USA
Oficina G3;Christian_metal;Brazil;BRA
Oh Sleeper;Christian_metal;United States;USA
Oil;Christian_metal;United States;USA
Once Dead;Christian_metal;United States;USA
Once Nothing;Christian_metal;United States;USA
One Bad Pig;Christian_metal;United States;USA
Onward to Olympas;Christian_metal;United States;USA
The Ongoing Concept;Christian_metal;United States;USA
Opprobrium;Christian_metal;United States;USA
Outrage A.D.;Christian_metal;Canada;CAN
Overcome;Christian_metal;United States;USA
The Overseer;Christian_metal;United States;USA
Pantokrator;Christian_metal;Sweden;SWE
Paradox;Christian_metal;United Kingdom;GBR
Paramaecium;Christian_metal;Australia;AUS
A Past Unknown;Christian_metal;United States;USA
PAX217;Christian_metal;United States;USA
Peace of Mind;Christian_metal;United States;USA
Petra;Christian_metal;United States;USA
Philadelphia;Christian_metal;United States;USA
Phinehas;Christian_metal;United States;USA
Pillar;Christian_metal;United States;USA
Place of Skulls;Christian_metal;United States;USA
A Plea for Purging;Christian_metal;United States;USA
P.O.D.;Christian_metal;United States;USA
Point of Recognition;Christian_metal;United States;USA
Poured Out;Christian_metal;United States;USA
Precious Death;Christian_metal;United States;USA
Project 86;Christian_metal;United States;USA
Promise Land;Christian_metal;United States;USA
Pyramaze;Christian_metal;Denmark;DNK
Raid;Christian_metal;United States;USA
Random Hero;Christian_metal;United States;USA
Recon;Christian_metal;United States;USA
Red;Christian_metal;United States;USA
Reform the Resistance;Christian_metal;United States;USA
ReinXeed;Christian_metal;Sweden;SWE
Remembrance;Christian_metal;United States;USA
Remove the Veil;Christian_metal;United States;USA
Renascent;Christian_metal;Finland;FIN
Resurrection Band;Christian_metal;United States;USA
Revulsed;Christian_metal;Australia;AUS
Righteous Vendetta;Christian_metal;United States;USA
Rival Choir;Christian_metal;United States;USA
Rod Laver;Christian_metal;United States;USA
Sacred Warrior;Christian_metal;United States;USA
The Sacrificed;Christian_metal;United States;USA
Sacrificium;Christian_metal;Germany;DEU
Saint;Christian_metal;United States;USA
Sanctifica;Christian_metal;Sweden;SWE
Saving Grace;Christian_metal;New Zealand;NZL
Saviour Machine;Christian_metal;United States;USA
Scarlet;Christian_metal;United States;USA
Scourged Flesh;Christian_metal;United States;USA
Seasons in the Field;Christian_metal;United States;USA
See the Rise;Christian_metal;United States;USA
Seemless;Christian_metal;United States;USA
Selfmindead;Christian_metal;Sweden;SWE
Separatist;Christian_metal;Australia;AUS
Serianna;Christian_metal;United States;USA
Settle the Sky;Christian_metal;United States;USA
Seventh Angel;Christian_metal;United Kingdom;GBR
Seventh Avenue;Christian_metal;Germany;DEU
Seventh Day Slumber;Christian_metal;United States;USA
Seventh Star;Christian_metal;United States;USA
Sever Your Ties;Christian_metal;United States;USA
Shadows of Paragon;Christian_metal;Sweden;SWE
Shai Hulud;Christian_metal;United States;USA
Shout;Christian_metal;United States;USA
Showbread;Christian_metal;United States;USA
The Showdown;Christian_metal;United States;USA
Signum Regis;Christian_metal;Slovakia;SVK
Silent Planet;Christian_metal;United States;USA
Sinai Beach;Christian_metal;United States;USA
Sinbreed;Christian_metal;United States;USA
Since October;Christian_metal;United States;USA
Six Feet Deep;Christian_metal;United States;USA
Skald in Veum;Christian_metal;Sweden;SWE
Skillet;Christian_metal;United States;USA
Slechtvalk;Christian_metal;Netherlands;NLD
Sleeping by the Riverside;Christian_metal;United States;USA
Sleeping Giant;Christian_metal;United States;USA
Society's Finest;Christian_metal;United States;USA
Solamors;Christian_metal;United States;USA
Solus Deus;Christian_metal;United States;USA
Soul Embraced;Christian_metal;United States;USA
Sovereign Strength;Christian_metal;United States;USA
Spirit and the Bride;Christian_metal;United States;USA
Spitfire;Christian_metal;United States;USA
Spoken;Christian_metal;United States;USA
Stars Are Falling;Christian_metal;United States;USA
Stavesacre;Christian_metal;United States;USA
Still Breathing;Christian_metal;United States;USA
Still Remains;Christian_metal;United States;USA
Strengthen What Remains;Christian_metal;United States;USA
Stretch Arm Strong;Christian_metal;United States;USA
Strongarm;Christian_metal;United States;USA
Stryken;Christian_metal;United States;USA
Stryper;Christian_metal;United States;USA
Sympathy;Christian_metal;Canada;CAN
Symphony in Peril;Christian_metal;United States;USA
Symphony of Heaven;Christian_metal;United States;USA
Taking the Head of Goliath;Christian_metal;United States;USA
Tantrum of the Muse;Christian_metal;United States;USA
Temple of Blood;Christian_metal;United States;USA
Temple of Perdition;Christian_metal;United States;USA
Texas In July;Christian_metal;United States;USA
Theocracy;Christian_metal;United States;USA
Thieves & Liars;Christian_metal;United States;USA
This Is Hell;Christian_metal;United States;USA
This or the Apocalypse;Christian_metal;United States;USA
Those Who Fear;Christian_metal;United States;USA
Thousand Foot Krutch;Christian_metal;Canada;CAN
A Thousand Times Repent;Christian_metal;Georgia;GEO
Through Solace;Christian_metal;United Kingdom;GBR
Timōrātus;Christian_metal;United States;USA
To Speak of Wolves;Christian_metal;United States;USA
Toarn;Christian_metal;United States;USA
Tortured Conscience;Christian_metal;United States;USA
Tourniquet;Christian_metal;United States;USA
Training for Utopia;Christian_metal;United States;USA
Trenches;Christian_metal;United States;USA
Trouble;Christian_metal;United States;USA
Trytan;Christian_metal;United States;USA
The Tug Fork River Band;Christian_metal;United States;USA
Twelve Gauge Valentine;Christian_metal;United States;USA
Ultimatum;Christian_metal;United States;USA
Unashamed;Christian_metal;United States;USA
Undercover;Christian_metal;United States;USA
Underneath the Gun;Christian_metal;United States;USA
Underoath;Christian_metal;United States;USA
Undish;Christian_metal;Poland;POL
UnTeachers;Christian_metal;United States;USA
V8;Christian_metal;Argentina;ARG
Vaakevandring;Christian_metal;Norway;NOR
Vengeance Rising;Christian_metal;United States;USA
Venia;Christian_metal;United States;USA
Vials of Wrath;Christian_metal;United States;USA
Virgin Black;Christian_metal;Australia;AUS
Vomitorial Corpulence;Christian_metal;Australia;AUS
Wage War;Christian_metal;United States;USA
War of Ages;Christian_metal;United States;USA
Warlord;Christian_metal;United States;USA
We as Human;Christian_metal;United States;USA
We the Gathered;Christian_metal;United States;USA
What We Do in Secret;Christian_metal;United States;USA
Whitecross;Christian_metal;United States;USA
With Blood Comes Cleansing;Christian_metal;United States;USA
Woe of Tyrants;Christian_metal;United States;USA
Wolves at the Gate;Christian_metal;United States;USA
The Word Alive;Christian_metal;United States;USA
Worldview;Christian_metal;United States;USA
Wovenwar;Christian_metal;United States;USA
Wrench in the Works;Christian_metal;United States;USA
Wytch Hazel;Christian_metal;United States;USA
X-Sinner;Christian_metal;United States;USA
xDeathstarx;Christian_metal;United States;USA
xDisciplex A.D.;Christian_metal;United States;USA
XT;Christian_metal;Sweden;SWE
XXI;Christian_metal;United States;USA
Your Memorial;Christian_metal;United States;USA
!T.O.O.H.!;Death_metal;Czech Republic;CZE
Abaddon Incarnate;Death_metal;United Kingdom;GBR
Abated Mass of Flesh;Death_metal;United States;USA
Ablaze My Sorrow;Death_metal;Sweden;SWE
Aborted;Death_metal;Belgium;BEL
Abramelin;Death_metal;Australia;AUS
Abscess;Death_metal;United States;USA
The Absence;Death_metal;United States;USA
Abysmal Dawn;Death_metal;United States;USA
Abysmal Torment;Death_metal;Malta;MLT
Acheron;Death_metal;United States;USA
Acid Bath;Death_metal;United States;USA
Aeon;Death_metal;Sweden;SWE
Aeternus;Death_metal;Norway;NOR
Afflicted;Death_metal;Sweden;SWE
The Agonist;Death_metal;Canada;CAN
Akercocke;Death_metal;United Kingdom;GBR
Alchemist;Death_metal;Australia;AUS
Aletheian;Death_metal;United States;USA
The Amenta;Death_metal;Australia;AUS
Amon Amarth;Death_metal;Sweden;SWE
Amoral;Death_metal;Finland;FIN
Amorphis;Death_metal;Finland;FIN
Anathema;Death_metal;United Kingdom;GBR
Angelcorpse;Death_metal;United States;USA
Animosity;Death_metal;United States;USA
Antestor;Death_metal;Norway;NOR
Anvil of Doom;Death_metal;Spain;ESP
Die Apokalyptischen Reiter;Death_metal;Germany;DEU
Arch Enemy;Death_metal;Sweden;SWE
Archeon;Death_metal;Poland;POL
Architects;Death_metal;United States;USA
Armageddon;Death_metal;Sweden;SWE
Armoured Angel;Death_metal;Australia;AUS
Arsis;Death_metal;United States;USA
As I Lay Dying;Death_metal;United States;USA
Asphyx;Death_metal;Netherlands;NLD
Assück;Death_metal;United States;USA
At the Gates;Death_metal;Sweden;SWE
Atheist;Death_metal;United States;USA
Atrocity;Death_metal;Germany;DEU
Atrophia Red Sun;Death_metal;Poland;POL
Austrian Death Machine;Death_metal;United States;USA
Autopsy;Death_metal;United States;USA
XavlegbmaofffassssitimiwoamndutroabcwapwaeiippohfffX;Death_metal;South Africa;ZAF
Avulsed;Death_metal;Spain;ESP
Battlelore;Death_metal;Finland;FIN
Becoming the Archetype;Death_metal;Georgia;GEO
Beheaded;Death_metal;Malta;MLT
Behemoth;Death_metal;Poland;POL
Belphegor;Death_metal;Austria;AUT
Benea Reach;Death_metal;Norway;NOR
Beneath the Massacre;Death_metal;Canada;CAN
Benediction;Death_metal;United Kingdom;GBR
Benighted;Death_metal;France;FRA
The Berzerker;Death_metal;Australia;AUS
Between the Buried and Me;Death_metal;United States;USA
Bilocate;Death_metal;Jordan;JOR
The Black Dahlia Murder;Death_metal;United States;USA
Blinded Colony;Death_metal;Sweden;SWE
Blo.Torch;Death_metal;Netherlands;NLD
Blood Duster;Death_metal;Australia;AUS
Blood Red Throne;Death_metal;Norway;NOR
Blood Stain Child;Death_metal;Japan;JPN
Bloodbath;Death_metal;Sweden;SWE
Bolt Thrower;Death_metal;United Kingdom;GBR
Born of Osiris;Death_metal;United States;USA
Brain Drill;Death_metal;United States;USA
Brodequin;Death_metal;United States;USA
Broken Hope;Death_metal;United States;USA
Brujeria;Death_metal;Mexico;MEX
Brutal Truth;Death_metal;United States;USA
By Night;Death_metal;Sweden;SWE
Cadacross;Death_metal;Finland;FIN
Cadaver;Death_metal;Norway;NOR
Callenish Circle;Death_metal;Netherlands;NLD
Cancer;Death_metal;United Kingdom;GBR
Caninus;Death_metal;United States;USA
Cannibal Corpse;Death_metal;United States;USA
Capharnaum;Death_metal;United States;USA
Carbonized;Death_metal;Sweden;SWE
Carcass;Death_metal;United Kingdom;GBR
Cardinal Sin;Death_metal;Sweden;SWE
Carnage;Death_metal;Sweden;SWE
Carnival in Coal;Death_metal;France;FRA
Cattle Decapitation;Death_metal;United States;USA
Cavalera Conspiracy;Death_metal;United States;USA
Celtic Frost;Death_metal;Switzerland;CHE
Cenotaph;Death_metal;Turkey;TUR
Centinex;Death_metal;Sweden;SWE
Cephalic Carnage;Death_metal;United States;USA
Ceremonial Oath;Death_metal;Sweden;SWE
Chain Collector;Death_metal;Norway;NOR
Changer;Death_metal;Iceland;ISL
The Chasm;Death_metal;Mexico;MEX
Children of Bodom;Death_metal;Finland;FIN
Circle of Dead Children;Death_metal;United States;USA
Coldworker;Death_metal;Sweden;SWE
The Concubine;Death_metal;United States;USA
Condemned;Death_metal;United States;USA
Consolation;Death_metal;Netherlands;NLD
Coprofago;Death_metal;Chile;CHL
Corpus Mortale;Death_metal;Denmark;DNK
Cradle of Filth;Death_metal;United Kingdom;GBR
The Crimson Armada;Death_metal;United States;USA
Crimson Thorn;Death_metal;United States;USA
Crionics;Death_metal;Poland;POL
The Crown;Death_metal;Sweden;SWE
Cryogenic;Death_metal;Australia;AUS
Cryptopsy;Death_metal;Canada;CAN
Cynic;Death_metal;United States;USA
Dååth;Death_metal;United States;USA
Damaged;Death_metal;Australia;AUS
Dance Club Massacre;Death_metal;United States;USA
Dark Age;Death_metal;Germany;DEU
Dark Heresy;Death_metal;United Kingdom;GBR
Dark Lunacy;Death_metal;Italy;ITA
Dark Tranquillity;Death_metal;Sweden;SWE
Darkest Hour;Death_metal;United States;USA
Darkthrone;Death_metal;Norway;NOR
Dawn of Azazel;Death_metal;New Zealand;NZL
Dead Horse;Death_metal;United States;USA
Deadlock;Death_metal;Germany;DEU
Death;Death_metal;United States;USA
Death Breath;Death_metal;Sweden;SWE
Death Organ;Death_metal;Sweden;SWE
Death Requisite;Death_metal;United States;USA
Deathchain;Death_metal;Finland;FIN
Debauchery;Death_metal;Germany;DEU
Decadence;Death_metal;Sweden;SWE
Decapitated;Death_metal;Poland;POL
Deceased;Death_metal;United States;USA
Decrepit Birth;Death_metal;United States;USA
Deeds of Flesh;Death_metal;United States;USA
Defeated Sanity;Death_metal;Germany;DEU
Defecation;Death_metal;United Kingdom;GBR
Deicide;Death_metal;United States;USA
Demenzia;Death_metal;Bulgaria;BGR
Demigod;Death_metal;Finland;FIN
Demilich;Death_metal;Finland;FIN
Demonoid;Death_metal;Sweden;SWE
Desecration;Death_metal;United States;USA
Despised Icon;Death_metal;Canada;CAN
Despite;Death_metal;Sweden;SWE
Destroy Destroy Destroy;Death_metal;United States;USA
Deuteronomium;Death_metal;Finland;FIN
Devian;Death_metal;Sweden;SWE
DevilDriver;Death_metal;United States;USA
Devilish Impressions;Death_metal;Poland;POL
Devourment;Death_metal;United States;USA
Diablo;Death_metal;Finland;FIN
Dies Irae;Death_metal;Poland;POL
A Different Breed of Killer;Death_metal;United States;USA
Dim Mak;Death_metal;United States;USA
Dimension Zero;Death_metal;Sweden;SWE
Disarmonia Mundi;Death_metal;Italy;ITA
Disavowed;Death_metal;Netherlands;NLD
Disbelief;Death_metal;Germany;DEU
Disentomb;Death_metal;Australia;AUS
Disgorge;Death_metal;United States;USA
Disillusion;Death_metal;Germany;DEU
Dismember;Death_metal;Sweden;SWE
Diocletian;Death_metal;New Zealand;NZL
Dispatched;Death_metal;Sweden;SWE
Dissection;Death_metal;Sweden;SWE
Distorted;Death_metal;Israel;ISR
Divine Heresy;Death_metal;United States;USA
