,Band,Original genre,Origin,Genres,Years active,Labels,Members,Past members
396,1349,Black_metal,"Oslo, Norway",['Black metal'],['1997–present'],"['Holycaust, Candlelight, Indie, Prosthetic, Season of Mist']","['Olav Bergene', 'Tor Risdal Stavenes', 'Idar ""Archaon"" Burheim', 'Kjetil-Vidar Haraldstad', '']","['Lars Larsen', 'André Kvebek', '']"
397,Abbath,Black_metal,"Bergen, Norway",['Black metal'],['2015–present'],['Season of Mist'],"['Abbath Doom Occulta', 'Ukri Suvilehto', 'Raud', 'Mia Wallace']","['Creature', 'King ov Hell', 'Silmaeth', 'Emil Wiksten']"
398,Abigail Williams,Black_metal,"Phoenix, Arizona, U.S.","['Black metal, symphonic black metal, metalcore (early)']",['2004–presentShort hiatus in 2007'],['Candlelight'],['Ken Bergeron'],
399,Abigor,Black_metal,Austria,"['Atmospheric black metal, avant-garde metal']",,['End All Life ProductionsChaos Sacrum RecordsNapalm Records'],"['P.K. (Peter Kubik)', 'T.T. (Thomas Tannenberger)', 'A.R. (Arthur Rosar)']","['Tharen', 'Silenius', 'Thurisaz', 'Stefan Fiori']"
400,Abominator,Black_metal,"Melbourne, Australia",['Blackened death metalThrash metal'],['1994—present'],"['Osmose Records, Displeased Records, Necropolis Records']","['Andrew ""Undertaker"" Gillon', 'Chris ""Volcano"" Broadway', 'Valak Exhumer']","['Max Krieg', ""Damon Burr aka 'Damon Bloodstorm'"", 'Dave Deathsaw', 'Gary Gestapo', 'Steve Undinism Culpitt']"
401,Aborym,Black_metal,"Taranto, Italy",['Industrial black metal'],['1992\xa0(1992)–present'],"['Agonia', 'Stridulation']","['Fabban', 'Giulio Moschini', '']",
402,Absu,Black_metal,"Dallas, Texas, United States","['Black metal, thrash metal, death metal (early)']",['1989–present'],"['Osmose, Candlelight']","['Proscriptor McGovern', 'Ezezu', '']","['Aethyris McKay', 'Zawicizuz', 'Vastator Terrarum', 'Shaftiel', 'Equitant Ifernain', 'Kashshapxu', 'Daviel Athron Mystica', 'Black Massith', 'Mezzadurus', 'Gary Lindholm', 'Daniel Benbow', 'Vis Crom', '']"
403,Absurd,Black_metal,"Sondershausen, Germany","['Black metal, pagan metal']",['1992–present'],['Darker Than Black'],['Hendrik “Jarl Flagg Nidhögg” Möbus'],"['Ronald “Wolf” Möbus', 'Sven “Unhold” Zimper', 'Sebastian “Dark Mark Doom” Schauseil', 'Andreas “Chuck Daniels” Kirchner', 'Udo “Damien Thorn” H.', 'Tormentor']"
404,Abruptum,Black_metal,"Finspång, Sweden",['Death metal (early)Avant-garde metalBlack metalDark ambientNoise music'],"['1989–2005, 2008–present']",['Deathlike Silence ProductionsSouthern Lord RecordsBlooddawn Productions'],,
405,Acheron,Black_metal,"Pittsburgh, Pennsylvania, United StatesTampa, Florida, United States","['Death metal, black metal']","['1988–2010, 2010–present']","['Turbo, Lethal, Moribund, Full Moon, Black Lotus, Displeased, Listenable Records']","['Vincent Crowley', 'Art Taylor', 'Shaun Cothron', 'Brandon Howe']",
