,Band,Original genre,Origin,Genres,Years active,Labels,Members,Past members
0,10 Years,Alternative_metal,"Knoxville, Tennessee, United States",['Alternative metalprogressive metalpost-grunge'],['1999–present'],['UniversalPalehorse/ILG (Warner)Mascot'],"['Jesse Hasek', 'Brian Vodinh', 'Luke Narey', 'Matt Wantland', 'Chad Grennor']","['Mike Underdown', 'Andy Parks', 'Lewis ""Big Lew"" Cosby', 'Ryan Collier', 'Ryan ""Tater"" Johnson', 'Chad Huff', 'Kyle Mayer']"
1,12 Stones,Alternative_metal,"Mandeville, Louisiana, U.S.","['Post-grunge', 'alternative rock', 'alternative metal', 'Christian rock', 'nu metal']",['2000–present'],"['Wind-up, Executive Music Group, Cleopatra']","['Paul McCoy', 'Eric Weaver', 'Sean Dunaway', '']","['Kevin Dorr', 'Pat Quave', 'Aaron Garner', 'Greg Trammell', 'Justin Rimer', 'DJ Stange', 'Shawn Wade', 'Mike McManus', 'Brad Reynolds', 'Will Reed', '']"
2,36 Crazyfists,Alternative_metal,"Anchorage, Alaska, U.S.",['Metalcorealternative metalnu metalpost-hardcore'],['1994\xa0(1994)–present'],['SpinefarmRoadrunnerDRT EntertainmentFerret'],"['Brock Lindow', 'Steve Holt', 'Mick Whitney', 'Kyle Baltus']","['JD Stuart ', 'Ryan Brownell', 'Thomas Noonan', 'Brett Makowski']"
3,311,Alternative_metal,"Omaha, Nebraska, U.S.",['Alternative rockreggae rockrap rockfunk rockalternative metal'],['1988–present'],['311ATOVolcanoCapricornMapleMusicBMG'],"['Nick Hexum', 'Doug ""SA"" Martinez', 'Aaron ""P-Nut"" Wills', 'Tim Mahoney', 'Chad Sexton', '']",['Jim Watson']
4,Alice in Chains,Alternative_metal,"Seattle, Washington, U.S.","['Heavy metal', 'alternative metal', 'grunge', 'sludge metal', 'hard rock']","['1987–2002', '2005–present']","['Columbia', 'Virgin', 'EMI', 'Capitol', 'BMG']","['Jerry Cantrell', 'Sean Kinney', 'Mike Inez', 'William DuVall', '']","['Layne Staley', 'Mike Starr', '']"
5,Alien Ant Farm,Alternative_metal,"Riverside, California, U.S.","['Alternative metal', 'nu metal', 'alternative rock', 'post-grunge', 'punk rock', 'pop punk']",['1996–present'],"['Universal', 'Executive Music']","['Dryden Mitchell', 'Terry Corso', 'Tim Peugh', 'Mike Cosgrove', '']","['Tye Zamora', 'Joe Hill', 'Alex Barreto', '']"
6,Alter Bridge,Alternative_metal,"Orlando, Florida, United States",['Hard rockalternative metalprogressive metalpost-grunge'],['2004\xa0(2004)–present'],['Wind-upUniversal RepublicRoadrunnerNapalm'],"['Myles Kennedy', 'Mark Tremonti', 'Brian Marshall', 'Scott Phillips', '']",
7,American Standards,Alternative_metal,"Phoenix, Arizona, US","['Noise rock, hardcore punk, metalcore, mathcore']",['2011–present'],"['Victory Records,  We Are Triumphant, Enjoyment Records, Torn Flesh, Nacion Libre']","['Brandon Kellum', 'Corey Skowronski', 'Steven Mandell', 'Mitch Hosier']","['Brennen Westermeyer', 'Geoff Gittleson', 'Cody Conrad', 'Mike Cook']"
8,Anthrax,Alternative_metal,"New York City, New York, U.S.","['Heavy metal', 'thrash metal', 'speed metal', 'alternative metal', 'groove metal']",['1981\xa0(1981)–present'],"['Megaforce', 'Island', 'Elektra', 'Sanctuary', 'Nuclear Blast']","['Scott Ian', 'Charlie Benante', 'Frank Bello', 'Joey Belladonna', 'Jonathan Donais', '']",
9,Apartment 26,Alternative_metal,"Leamington Spa, England","['Industrial metal', 'nu metal', 'alternative metal']",['1999–2004'],['Hollywood RecordsAtlantic RecordsMurph Records'],"['Louis Cruden (Bass) ', ' Jon Greasley (Guitar) ', "" Terence 'Biff' Butler (Vocals) "", ' Andy Huckvale (Keyboards/Programming) ', ' Kevin Temple (Drums) ', ' Brad Booker (Drums)']",
10,A Perfect Circle,Alternative_metal,"Los Angeles, California, U.S.","['Alternative rock', 'alternative metal', 'hard rock', 'art rock']","['1999–2004', '2010–present']","['Virgin', 'BMG']","['Maynard James Keenan', 'Billy Howerdel', 'James Iha', 'Matt McJunkins', 'Jeff Friedl', '']","['Troy Van Leeuwen', 'Paz Lenchantin', 'Tim Alexander', 'Josh Freese', 'Danny Lohner', 'Jeordie White', '']"
11,Apocalyptica,Alternative_metal,"Helsinki, Finland","['Symphonic metal', 'gothic metal', 'alternative metal', 'heavy metal', 'neoclassical metal']",['1993–present'],"['Eleven Seven', 'MCA', 'Zen Garden', 'Mercury', '20-20', 'Jive', 'Sony Music', 'RCA']","['Eicca Toppinen', 'Perttu Kivilaakso', 'Paavo Lötjönen', 'Mikko Sirén', 'Franky Perez', 'Antero Manninen', '']","['Max Lilja', '']"
12,At the Drive-In,Alternative_metal,"El Paso, Texas, U.S.","['Post-hardcore', 'punk rock', 'art punk', 'emo']","['1994–2001', '2011–2012', '2015–2018']","['Rise', 'Fearless', 'Grand Royal', 'Twenty-first Chapter']","['Cedric Bixler-Zavala', 'Omar Rodríguez-López', 'Paul Hinojos', 'Tony Hajjar', 'Keeley Davis', '']","['Jim Ward', 'Jarrett Wrenn', 'Kenny Hopper', 'Bernie Rincon', 'Davy Simmons', 'Adam Amparan', 'Ryan Sawyer', 'Ben Rodriguez', '']"
13,Audioslave,Alternative_metal,"Glendale, California, U.S.","['Hard rock', 'alternative metal', 'post-grunge', 'funk metal', 'alternative rock']","['2001–2007', '2017']","['Epic', 'Interscope']",,"['Tom Morello', 'Tim Commerford', 'Brad Wilk', 'Chris Cornell', '']"
14,Avenged Sevenfold,Alternative_metal,"Huntington Beach, California, U.S.","['Heavy metal', 'alternative rock', 'hard rock', 'metalcore (early)']",['1999–present'],"['Good Life', 'Hopeless', 'Warner Bros.', 'Capitol']","['M. Shadows', 'Zacky Vengeance', 'Synyster Gates', 'Johnny Christ', 'Brooks Wackerman', '']","['The Rev', 'Matt Wendt', 'Justin Sane', 'Dameon Ash', 'Arin Ilejay', '']"
15,Babymetal,Alternative_metal,"Tokyo, Japan","['Kawaii metal', 'heavy metal', 'J-pop', 'power metal', 'alternative metal']",['2010–present'],"['Juonbu', 'BMD Fox', ""Toy's Factory"", 'Amuse']","['Su-metal', 'Moametal', '']","['Yuimetal', '']"
16,Bad Brains,Alternative_metal,"Washington, D.C., United States",['Hardcore punkalternative metalpunk rockreggae'],['1977–19951998–present'],['ROIRCarolineSSTEpicMundaneSMEMaverickWarner Bros.Megaforce'],"['H.R.', 'Dr. Know', 'Darryl Jenifer', 'Earl Hudson', '']","['Sid McCray', 'Mackie Jayson', 'Taj Singleton', 'Chuck Mosley', 'Israel Joseph I', 'Chuck Treece', '']"
17,Baroness,Alternative_metal,"Savannah, Georgia, United States","['Sludge metal', 'alternative metal', 'progressive metal']",['2003–present'],"['Relapse', 'Hyperrealist', 'At a Loss Recordings', 'Abraxan Hymns']","['John Baizley', 'Nick Jost', 'Sebastian Thomson', 'Gina Gleason', '']","['Peter Adams', 'Allen Blickle', 'Summer Welch', 'Tim Loose', 'Brian Blickle', 'Matt Maggioni', '']"
18,Biohazard,Alternative_metal,"Brooklyn, New York, U.S.","['Hardcore punk', 'rap metal', 'thrash metal', 'rapcore']","['1987–2006', '2008–present']","['Mercury', 'Nuclear Blast', 'Roadrunner', 'Sanctuary', 'Warner Bros.']","['Billy Graziadei', 'Bobby Hambel', 'Danny Schuler', '']","['Evan Seinfeld', 'Anthony Meo', 'Rob Echeverria', 'Leo Curley', 'Carmine Vincent', 'Scott Roberts', '']"
19,Black Stone Cherry,Alternative_metal,"Edmonton, Kentucky, United States",['Hard rockheavy metalSouthern rockalternative metalpost-grunge'],['2001\xa0(2001)–present'],"['Roadrunner (2005-2015), Mascot (2015-Present)']","['Chris Robertson', 'Ben Wells', 'Jon Lawhon', 'John Fred Young']",
20,Black Veil Brides,Alternative_metal,"Cincinnati, Ohio, U.S.","['Glam metal', 'gothic metal', 'heavy metal', 'gothic rock', 'hard rock', 'metalcore']",['2006–present'],"['Lava', 'Universal Republic', 'StandBy']","['Andy Biersack', 'Ashley Purdy', 'Jinxx', 'Jake Pitts', 'Christian ""CC"" Coma', '']","['Johnny Herold', 'Kevin Harris', 'Nate Shipp', 'Phil Cenedella', 'Chris Riesenberg', 'Robert Thomas', 'Mike Stamper', 'Chris Hollywood', 'Sandra Alvarenga', 'Pan The Gypsy', '']"
21,Breaking Benjamin,Alternative_metal,"Wilkes-Barre, Pennsylvania, U.S.","['Hard rock', 'post-grunge', 'alternative metal']","['1999–2010', '2014–present']",['Hollywood'],"['Benjamin Burnley', 'Aaron Bruch', 'Shaun Foist', 'Jasen Rauch', 'Keith Wallen', '']","['Jeremy Hummel', 'Aaron Fink', 'Mark Klepaski', 'Chad Szeliga', 'See § Members for others', '']"
22,Bring Me the Horizon,Alternative_metal,"Sheffield, England","['Metalcore', 'alternative metal', 'alternative rock', 'pop rock', 'electronic rock', 'deathcore (early)']",['2004–present'],"['BMG', 'Sony', 'RCA', 'Columbia', 'Visible Noise', 'Epitaph', 'Thirty Days of Night', 'Earache', 'Shock']","['Oliver Sykes', 'Matt Kean', 'Lee Malia', 'Matt Nicholls', 'Jordan Fish', '']","['Curtis Ward', 'Jona Weinhofen', '']"
23,Bullet for My Valentine,Alternative_metal,"Bridgend, Wales, UK","['Metalcore', 'heavy metal', 'thrash metal', 'hard rock']",['1998\xa0(1998)–present'],"['Trustkill', 'Visible Noise', 'Gun', 'Sony Music', 'Jive', 'RCA', 'Spinefarm']","['Matthew Tuck', 'Michael Paget', 'Jamie Mathias', 'Jason Bowld', '']","['Nick Crandle', 'Jason James', 'Michael Thomas', '']"
24,Butthole Surfers,Alternative_metal,"San Antonio, Texas, United States",['Experimental rockalternative rockpunk rockpsychedelic rock'],['1981–present'],['Alternative TentaclesTouch and GoBlast FirstAu Go GoLatino BuggerveilRough TradeCapitolTrance SyndicateSurfdogHollywood'],"['Gibby Haynes', 'Paul Leary', 'King Coffey', 'Jeff Pinkus', '']",['see members section']
25,Chevelle,Alternative_metal,"Grayslake, Illinois, U.S.","['Alternative metal', 'post-grunge', 'hard rock', 'nu metal', 'alternative rock']",['1995–present'],"['Squint', 'Epic']","['Pete Loeffler', 'Sam Loeffler', 'Dean Bernardini', '']","['Joe Loeffler', '']"
26,CKY,Alternative_metal,"West Chester, Pennsylvania, USA",['Post-grungehard rockstoner metalskate punk'],['1998\xa0(1998)–present'],['Entertainment OneLong BranchDistantMighty LoudRoadrunnerIslandVolcomTeil Martin'],"['Jess Margera', 'Chad I Ginsburg', 'Matt Deis']","['Deron Miller', 'Matt ""Matty J."" Janaitis', 'Daniel Davies']"
27,Clawfinger,Alternative_metal,"Stockholm, Sweden","['Rap metal', 'industrial metal', 'nu metal']","['1989–2013, 2017-present']","['Nuclear Blast, WEA/WMG']","['Zak Tell', 'Jocke Skog', 'Bård Torstensen', 'André Skaug', 'Micke Dahlén']","['Henka Johansson', 'Erlend Ottem', 'Morten Skaug', 'Ottar Vigerstøl']"
28,Clutch,Alternative_metal,"Germantown, Maryland, U.S.","['Hard rock', 'alternative metal', 'funk metal', 'blues rock', 'stoner rock']",['1991–present'],"['Atlantic, Columbia, DRT, Earache, Eastwest, Inner Journey, Megaforce, River Road, Weathermaker']","['Tim Sult', 'Dan Maines', 'Jean-Paul Gaster', 'Neil Fallon']","['Mick Schauer', 'Roger Smalls']"
29,Coal Chamber,Alternative_metal,"Los Angeles, California, U.S.","['Nu metal', 'alternative metal', 'gothic metal']","['1994–2003', '2011–2016']","['Napalm', 'Roadrunner', 'Woah Dad!']",,"['Dez Fafara', 'Miguel ""Meegs"" Rascón', 'Mikey ""Bug"" Cox', 'Nadja Peulen', 'Rayna Foss', 'Chela Rhea Harper', 'Jon Tor', '']"
30,Cold,Alternative_metal,"Jacksonville, Florida, United States","['Post-grunge', 'alternative rock', 'hard rock', 'alternative metal', 'nu metal']","['1986–2006', '2009–present']","['A&M', 'Geffen', 'Lava', 'SonicStar', 'Eleven Seven', 'Napalm']","['Scooter Ward', 'Lindsay Manfredi', 'Nick Coyle', 'Jonny Nova', 'Ethan York', '']","['Zac Gilbert', 'Drew Molleur', 'Matt Loughran', 'Pat Lally', 'Sean Lay', 'Kelly Hayes', 'Eddie Rendini', 'Mike Booth', 'Joe Bennett', 'Michael Harris', 'Jeremy Marshall', 'Terry Balsamo', 'Sam McCandless', '']"
31,The Cooters,Alternative_metal,"Oxford, Mississippi, US","['Punk rock, hardcore punk, thrash metal, heavy metal']",['1993–present'],"['Profane Existence Records, T-Bones Records, Cooters Records, Assault With Intent To Free']","['Newt Rayburn', ' Gentry Webb', ' Mikey Namorato']","['Brad Boatright', ' Tom Queyja', ' Max Hipp', ' Jeff Lawrence', ' Jeff Allen', ' Tyler Keith']"
32,Corrosion of Conformity,Alternative_metal,"Raleigh, North Carolina, U.S.","['Stoner metal', 'sludge metal', 'heavy metal', 'southern metal', 'hardcore punk (early)', 'crossover thrash (early)']","['1982–2006', '2010–present']","['Sanctuary', 'Columbia', 'Metal Blade', 'Relativity', 'Caroline', 'Southern Lord', 'Nuclear Blast']","['Woody Weatherman', 'Mike Dean', 'Reed Mullin', 'Pepper Keenan']","['Karl Agell', 'Phil Swisher', 'Simon Bob Sinister', 'Eric Eycke', 'Robert Stewart', 'Benji Shelton', 'Jimmy Bower', 'Jason Patterson']"
33,Cyclone Temple,Alternative_metal,"Chicago, Illinois, U.S.","['Thrash metal', 'progressive metal', 'alternative metal']",['1989–1994'],"['Relativity Records (Combat Records)', 'Polydisc/Progressive International', 'Monsterdisc']",,"['Brian Troch Sonny DeLuca', 'Greg Fulton', 'Scott Schafer', 'John Slattery', 'Marco Salinas<br']"
34,Days of the New,Alternative_metal,"Charlestown, Indiana, United States","['Alternative rock', 'grunge', 'post-grunge', 'acoustic rock']",['1995–2014'],['Outpost Records'],,"['Travis Meeks', 'Todd Whitener', 'Jesse Vest', 'Matt Taul', 'Mike Starr', 'Ray Rizzo', 'Brian Vinson', 'Malcolm Gold', 'Mike Huettig', 'Rachael Beaver', 'Taylor James', 'Jason Fresta', 'Nicole Scherzinger', 'Charlie Colin', 'Paul Culligan', '']"
35,Decyfer Down,Alternative_metal,"Morehead City, North Carolina, United States","['Christian rock, hard rock, post-grunge, alternative metal']",['1999–present'],['Fair Trade ServicesINO RecordsColumbia RecordsFuel Music'],"['TJ Harris', 'Brandon Mills', 'Christopher Clonts', 'Ben Millhouse', '']","['Caleb Oliver', 'Josh Oliver', 'Chris Furr', '']"
36,Defrage,Alternative_metal,"Pärnu, Pärnumaa, Estonia","['Hard rock, post-grunge, alternative metal']",['2007–2014'],['Independent'],,"['Kari ""Infinity"" Kärner', 'Andre Kaldas', 'Kevin Presmann', 'Argo Ollep', 'Joonas Uus', 'Andres Arens', 'Aleks Ohaka', 'Daniel Leppsoo', 'Kaspar Peterson', 'Artjom Jevstajev', 'Sten Õitspuu', 'Mikk Künnapas']"
37,Deftones,Alternative_metal,"Sacramento, California, U.S.","['Alternative metal', 'experimental rock', 'art rock', 'nu metal (early)']",['1988–present'],"['Maverick', 'Reprise']","['Stephen Carpenter', 'Abe Cunningham', 'Chino Moreno', 'Frank Delgado', 'Sergio Vega', '']","['Dominic Garcia', 'Chi Cheng', 'John Taylor', '']"
38,Demon Hunter,Alternative_metal,"Seattle, Washington, U.S.","['Christian metal', 'metalcore', 'nu metal', 'alternative metal', 'groove metal']",['2000–present'],['Solid State'],"['Ryan Clark', 'Jon Dunn', 'Patrick Judge', 'Timothy ""Yogi"" Watts', 'Jeremiah Scott']","['Jesse Sprinkle', 'Kris McCaddon', 'Don Clark', 'Ethan Luck', 'Ryan Helm']"
39,Disturbed,Alternative_metal,"Chicago, Illinois, U.S.","['Heavy metal', 'hard rock', 'alternative metal', 'nu metal']","['1994–2011', '2015–present']","['Giant', 'Reprise', 'Warner Bros.', 'Intoxication']","['Dan Donegan', 'Mike Wengren', 'David Draiman', 'John Moyer', '']","['Erich Awalt', 'Steve Kmak', '']"
40,Dir En Grey,Alternative_metal,"Osaka, Japan","['Avant-garde metal', 'progressive metal', 'alternative metal', 'death metal', 'gothic metal', 'nu metal']",['1997–present'],"['Firewall Div.', 'SMEJ', 'Okami', 'The End', 'Gan-Shin', 'Warcon Enterprises']","['Kaoru', 'Kyo', 'Die', 'Shinya', 'Toshiya', '']",
41,Dog Fashion Disco,Alternative_metal,"Rockville, Maryland, United States","['Avant-garde metal, Groove Metal alternative metal, progressive metal']","['1995–2007, 2013–present  (reunions 2008, 2010, 2011, 2013)']","['Outerloop, Spitfire, Artemis, Rotten, Razor to Wrist']","['Todd Smith', 'Jasan Stepp', 'Brian ""Wendy"" White', 'Tim Swanson', 'John Ensminger']","['Greg Combs', 'Stephen Mears', 'Jeff Siegel', 'Mike ""Ollie"" Oliver', 'Sennen Quigley', 'Jason Stevens', 'Mark Ammen', 'Geoff Stewart', 'Kristen Ensminger', 'Josh Gifford', 'Dave Sislen', 'Ken Willard']"
42,Dope,Alternative_metal,"New York City, New York, United States","['Nu metal', 'industrial metal', 'alternative metal', 'speed metal']",['1997–present'],"['Sony, Eat Me/Sue Me, Artemis, E1, Flip']","['Edsel Dope', 'Chris Warner', 'Virus', 'Acey Slade']","['Simon Dope', 'Racci ""Sketchy"" Shay', 'Preston Nash', 'Tripp Eisen', 'Brix Milner', 'Sloane ""Mosey"" Jentry ', 'Angel Bartolotta', 'Derrick Tribbett', 'Daniel Fox', 'Nikk Dibs', 'Jerms Genske']"
43,downset.,Alternative_metal,"Los Angeles, California","['Rap metal', 'funk metal', 'alternative metal', 'rap rock', 'hardcore punk']","['1986–2009, 2013–present']","['Mercury', 'Epitaph', 'Hawino']","['Ray Oropeza', 'Brian ""Ares"" Schwager', 'James Morris', 'Chris Hamilton', '']","['Roy Lozano', 'Christopher ""Krasp"" Lee', 'Rico Villasenor', 'Neil Roemer', '']"
44,Drowning Pool,Alternative_metal,"Dallas, Texas, U.S.","['Alternative metal', 'hard rock', 'post-grunge', 'heavy metal', 'nu metal']",['1996–present'],"['Wind-up', 'Eleven Seven', 'Entertainment One']","['C.J. Pierce', 'Mike Luce', 'Stevie Benton', 'Jasen Moreno', '']","['Dave Williams', 'Jason Jones', 'Ryan McCombs', '']"
45,Earshot,Alternative_metal,"Los Angeles, California, United States","['Alternative metal', 'nu metal (early)']",['1999–present'],"['Warner Bros., Fontana, Universal Records, Earshot Inc.']",,
46,Echobrain,Alternative_metal,,"['Alternative rock, alternative metal']",['2000–2005'],['Surfdog'],,"['Dylan Donkin', 'Brian Sagrafena', 'Jason Newsted', 'David Borla', 'Chris Scianni', 'Adam Donkin', 'Andrew Gomez']"
47,Enter Shikari,Alternative_metal,"St Albans, Hertfordshire, England, United Kingdom","['Post-hardcore', 'electronic rock', 'alternative rock', 'metalcore (early)']",['1999–present'],"['Ambush Reality, PIAS']","['Chris Batten', 'Rou Reynolds', 'Rob Rolfe', 'Rory Clewlow', '']",
48,Evanescence,Alternative_metal,"Little Rock, Arkansas, U.S.",,"['1995–2012', '2015–present']","['Wind-up', 'Concord Bicycle', 'BMG']","['Amy Lee', 'Tim McCord', 'Will Hunt', 'Troy McLawhorn', 'Jen Majura', '']","['Ben Moody', 'David Hodges', 'Will Boyd', 'Rocky Gray', 'John LeCompt', 'Terry Balsamo', '']"
49,Failure,Alternative_metal,"Los Angeles, California, U.S.","['Alternative rock', 'grunge', 'alternative metal', 'art rock', 'space rock']","['1990–1997, 2014–present']","['Slash/Warner Bros., Failure Records, PIAS']","['Ken Andrews', 'Greg Edwards', 'Kellii Scott', '']","['Robert Gauss', 'Troy Van Leeuwen', '']"
50,Fair to Midland,Alternative_metal,"Sulphur Springs, Texas, United States","['Alternative metal, progressive rock, progressive metal']",['1998–2013'],"['FTF, Serjical Strike, E1 Music']","['Darroh Sudderth', 'Cliff Campbell', 'Nathin Seals', 'Jason Pintler', 'Brett Stowers', 'Matt Langley', 'Jon Dicken', 'Ryan Collier', 'Logan Kennedy']",
51,Faith No More,Alternative_metal,"San Francisco, California, United States","['Alternative metal', 'experimental rock', 'funk metal']","['1979–1998', '2009–present']","['Slash', 'Reprise', 'Mordam', 'Reclamation!', 'Ipecac']","['Mike Bordin', 'Roddy Bottum', 'Billy Gould', 'Mike Patton', 'Jon Hudson', '']",['See list']
52,Fantômas,Alternative_metal,"California, United States","['Avant-garde metal', 'alternative metal', 'experimental rock']",['1998–present'],['Ipecac'],"['Mike Patton', 'Buzz Osborne', 'Trevor Dunn', 'Dave Lombardo', '']",
53,Fear Factory,Alternative_metal,"Los Angeles, California, U.S.","['Industrial metal', 'groove metal', 'thrash metal', 'death metal', 'alternative metal', 'nu metal']",['1989–present (hiatus: 2002–2003; 2006–2009)'],"['Roadrunner', 'Liquid 8', 'Calvin', 'Candlelight', 'Nuclear Blast']","['Burton C. Bell', 'Dino Cazares', 'Mike Heller', 'Tony Campos']","['David Gibney', 'Andy Romero', 'Andrew Shives', 'Reynor Diego', 'Raymond Herrera', 'Christian Olde Wolbers', 'Byron Stroud', 'Gene Hoglan', 'Matt DeVries']"
54,Fightstar,Alternative_metal,"London, United Kingdom","['Post-hardcore', 'alternative rock', 'emo', 'heavy metal']","['2003–2010', '2014–2015 (hiatus)']","['PIAS', 'Gut', 'Island', 'Trustkill', 'Deep Elm']","['Charlie Simpson', 'Alex Westaway', 'Dan Haigh', 'Omar Abidi', '']",
55,Finger Eleven,Alternative_metal,"Burlington, Ontario, Canada","['Alternative rock', 'alternative metal', 'post-grunge', 'hard rock', 'nu metal']",['1990–present'],"['The Bicycle Music Company', 'Wind-up', 'Mercury']","['Scott Anderson', 'James Black', 'Rick Jackett', 'Sean Anderson', 'Steve Molella', '']","['Rob Gommerman', 'Rich Beddoe', '']"
56,Filter,Alternative_metal,"Cleveland, Ohio, U.S.",['Industrial rockalternative metalindustrial metalalternative rockpost-grunge'],['1993–20032007–present'],['RepriseWind-upPulseRocket Science'],"['Richard Patrick', 'Brian Liesegang', 'Jonathan Radtke', 'Ashley Dzerigian', 'Chris Reeve', 'Bobby Miller', '']","['See ""members""']"
57,Five Finger Death Punch,Alternative_metal,"Las Vegas, Nevada, U.S.","['Heavy metal', 'groove metal', 'thrash metal', 'alternative metal', 'hard rock']",['2005\xa0(2005)–present'],"['Rise', 'Eleven Seven', 'Firm', 'EMI', 'Prospect Park', 'Spinefarm', 'Universal']","['Zoltan Bathory', 'Ivan L. Moody', 'Jason Hook', 'Chris Kael', 'Charlie Engen', '']","['Jeremy Spencer', 'Matt Snell', 'Caleb Bingham', 'Darrell Roberts', '']"
58,Flyleaf,Alternative_metal,"Bell County, Texas",['Alternative metalhard rockalternative rockpost-grungenu metal'],['2002–2016 (hiatus)'],['A&M/OctoneGUNINOLoud & Proud'],"['James Culpepper', 'Sameer Bhattacharya', 'Jared Hartmann', 'Pat Seals', '']","['Lacey Sturm', 'Kristen May', '']"
59,Fuel,Alternative_metal,"Kenton, Tennessee,  United States and Harrisburg, Pennsylvania, United States","['Post-grunge', 'hard rock', 'alternative rock']",['1994–present'],"['SonyBMG', 'Epic', 'Megaforce']","['Brett Scallions', 'Shannon Boone', 'Phil Buckman', 'Jason Womack', '']","['Carl Bell', 'Jeff Abercrombie', 'Jody Abbott', 'Kevin Miller', 'Toryn Green', 'Tommy Stewart', 'Yogi Lonich', 'Jasin Todd', 'Heidi Savins', 'James Wrethmn', 'Ken Schalk', 'Bryan Keeling', 'Brad Stewart', 'Andy Andersson', '']"
60,Full Scale,Alternative_metal,"Perth, Western Australia, Australia","['Alternative metal, nu metal, rap metal']","['1998\xa0(1998)–2006\xa0(2006)', '2009\xa0(2009)–2010\xa0(2010)', '2016\xa0(2016)–present\xa0(present)']","['Popstar', 'Columbia']",,['see Members list below']
61,Fu Manchu,Alternative_metal,"Orange County, California, United States",['Stoner rock'],['1985–present'],"[""DRT, Liquor and Poker Music, Mammoth, Bong Load, Man's Ruin, Slap-a-Ham""]","['Scott Hill', 'Brad Davis', 'Bob Balch', 'Scott Reeder']","['Ruben Romano', 'Ken Pucci', 'Mark Abshire', 'Greg McCaughey', 'Glenn Chivens', 'Scott Votaw', 'Eddie Glass', 'Brant Bjork']"
62,Funeral for a Friend,Alternative_metal,"Bridgend, Wales, United Kingdom","['Post-hardcore, emo, melodic hardcore, alternative rock']",['2001\xa0(2001)–2016'],"['Distiller, No Sleep, End Hits, Good Fight, Mighty Atom, Infectious, Atlantic, Ferret, Join Us, Roadrunner']",,"['Matthew Davies-Kreye', 'Kris Coombs-Roberts', 'Gavin Burrough', 'Richard Boucher', 'Matthew Evans', 'Johnny Phillips', 'Andi Morris', 'Kerry Roberts', 'Darran Smith', 'Gareth Ellis-Davies', 'Ryan Richards', 'Pat Lundy']"
63,Godflesh,Alternative_metal,"Birmingham, England","['Industrial metal', 'post-metal', 'experimental metal', 'extreme metal']","['1982–2002, 2010–present']","['Swordfish', 'Earache', 'Columbia', 'Avalanche', 'Music for Nations', 'Koch', 'Relapse']","['Justin Broadrick', 'G. C. Green', '']","['Paul Neville', 'Robert Hampson', 'Bryan Mantia', 'Ted Parsons', '']"
64,Glassjaw,Alternative_metal,"Hempstead, Long Island, New York, U.S.","['Post-hardcore', 'alternative metal', 'nu metal']","['1993\xa0(1993)–2004, 2005–present']","['Warner Bros., Roadrunner, Century Media']","['Daryl Palumbo', 'Justin Beck', 'Travis Sykes', 'Chad Hasty']",
65,Godsmack,Alternative_metal,"Lawrence, Massachusetts, U.S.","['Heavy metal', 'post-grunge', 'nu metal', 'alternative metal', 'hard rock']",['1995–present'],"['Universal', 'Republic', 'BMG Rights Management']","['Sully Erna', 'Robbie Merrill', 'Tony Rombola', 'Shannon Larkin', '']","['Lee Richards', 'Tommy Stewart', ""Joe D'Arco"", '']"
66,Green Jellÿ,Alternative_metal,"Buffalo, New YorkHollywood, California, United States","['Comedy rock, heavy metal, punk rock, alternative metal']","['1981–1995, 2008–present']","['Zoo Entertainment, Volcano, Originology Records']","['Bill Manspeaker', 'Ray Earls', 'Craig Calderon', 'Keith McCormack', 'Marc Levinthal', 'Peavy Staxx', 'Jonny Pee', 'Lazy D', 'Krusty', 'Jeremy Barbour', 'Travis Harpster', 'Jim Major', 'Billy Youngblood', 'KC Shay', 'Al Williams', 'Gavin Hardin', 'Samuel Poe', 'Gary Helsinger', 'Steven Shenar', 'Ego Plum', 'Garrett Grant', 'Ryan Gaddy', 'Rob Gabriele', 'Derek Nelson', 'Jon Boles', 'John Reggie Romero', 'Joe Russo', 'Rick Kempf', 'Matty Manaidz', 'Mark McHone', 'Tony Ferro', 'Bill Tutton', 'Jim Laspesa', 'Rick Jeschke Deliz', 'Alis Emerson', 'Val Cruz', 'Rack Guerrero', 'Rex Caravello', '']","['Danny Carey', 'Maynard James Keenan', 'C.J Buscaglia', 'Scott Rozell']"
67,Grinspoon,Alternative_metal,"Lismore, New South Wales, Australia","['Alternative rock, post-grunge, alternative metal, pop rock']","['1995–2013, 2015, 2017-present']",['UniversalGrudgeOracleChk Chk Boom'],"['Pat Davern', 'Joe Hansen', 'Kristian Hopes', 'Phil Jamieson']",
68,Guano Apes,Alternative_metal,"Göttingen, Germany",['Alternative rocknu metalfunk metal'],"['1994–2006, 2009–present']",['GUN/Supersonic RecordsColumbia Europe'],"['Sandra Nasić', 'Henning Rümenapp', 'Stefan Ude', 'Dennis Poschwatta']",
69,Hayko Cepkin,Alternative_metal,"Istanbul, Turkey","['Alternative metal, Anatolian rock, industrial metal, post-hardcore']",['1997–present'],['EMI'],,
70,Halestorm,Alternative_metal,"Red Lion, Pennsylvania, U.S.","['Hard rock', 'heavy metal', 'alternative metal', 'post-grunge', 'alternative rock']",['1997–present'],['Atlantic'],"['Lzzy Hale', 'Arejay Hale', 'Joe Hottinger', 'Josh Smith', '']","['Leo Nessinger', 'Roger Hale', '']"
